City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,nago,26.5881,127.9761,30.25,84,100,10.72,JP,1721775044
171,iskateley,67.6803,53.1512,7.83,87,5,2.92,RU,1721775045
172,lepsy,46.235,78.9456,25.91,36,100,3.67,KZ,1721775047
173,al kharijah,25.4514,30.5464,32.37,19,37,4.44,EG,1721775048
174,lhasa,29.65,91.1,12.08,93,100,0.7,CN,1721775049
175,sarmiento,-45.5882,-69.07,10.93,57,59,3.24,AR,1721775051
176,jolo,6.05,121.0167,26.92,91,100,2.08,PH,1721775052
177,mount pearl,47.5166,-52.7813,20.19,62,75,6.69,CA,1721775053
178,touros,-5.1989,-35.4608,23.97,77,19,7.15,BR,1721775054
179,lexington,37.9887,-84.4777,27.36,72,75,2.06,US,1721774587
180,kristiansund,63.1115,7.732,13.4,92,75,1.03,NO,1721775056
181,forster,-32.1667,152.5167,11.32,100,0,2.36,AU,1721775057
182,le vauclin,14.5452,-60.8388,29.03,74,20,5.14,MQ,1721775058
183,baskil,38.5679,38.8238,24.91,42,0,1.79,TR,1721775059
184,saint-francois,46.4154,3.9054,17.6,100,50,2.06,FR,1721775060
185,saacow,1.6279,42.4407,23.21,84,96,4.99,SO,1721775061
186,ceerigaabo,10.6162,47.368,19.01,58,99,10.52,SO,1721775063
187,iqaluit,63.7506,-68.5145,17.85,42,40,6.69,CA,1721775064
188,inarajan village,13.2736,144.7484,30.22,93,100,4.96,GU,1721775065
189,sisimiut,66.9395,-53.6735,6.35,84,20,3.64,GL,1721775066
190,prince albert,53.2001,-105.7677,22.97,64,100,4.63,CA,1721775067
191,broome,42.2506,-75.833,26.49,56,60,3.13,US,1721775068
192,nouadhibou,20.931,-17.0347,20.7,90,55,0.65,MR,1721775069
193,berasia,23.6333,77.4333,24.12,94,100,5.99,IN,1721775070
194,wynyard,-41.0,145.7167,11.77,75,93,2.68,AU,1721775071
195,quellon,-43.1167,-73.6167,9.66,91,97,4.02,CL,1721775048
196,cockburn town,21.4612,-71.1419,28.17,81,3,9.53,TC,1721775074
